campaign,ad_group,keyword,match_type,avg_monthly_searches,competition,competition_indexed,cpc_low,cpc_high,trend_yoy,priority,source,notes
Search-Lokalne-Piaseczno,Masaż Piaseczno,"masaż piaseczno",Phrase,880,Wysoki,76,0.95,3.31,0%,P1,klient,Główna fraza lokalna - najwyższy wolumen
Search-Lokalne-Piaseczno,Masaż Piaseczno,"masaż piaseczno",Exact,880,Wysoki,76,0.95,3.31,0%,P1,klient,Exact match dla precyzji
Search-Lokalne-Piaseczno,Masaż Piaseczno,"masaż leczniczy piaseczno",Phrase,70,Niski,15,1.04,1.86,+175%,P1,klient,EKSPLOZJA - niski CPC wysoki wzrost
Search-Lokalne-Piaseczno,Masaż Piaseczno,"masaż leczniczy piaseczno",Exact,70,Niski,15,1.04,1.86,+175%,P1,klient,Exact match
Search-Lokalne-Piaseczno,Masaż Piaseczno,"masaż relaksacyjny piaseczno",Phrase,40,Wysoki,100,0.86,3.51,-57%,P2,klient,Spadek YoY ale wciąż wolumen
Search-Lokalne-Piaseczno,Masaż Piaseczno,"masaż relaksacyjny piaseczno",Exact,40,Wysoki,100,0.86,3.51,-57%,P2,klient,Exact match
Search-Lokalne-Piaseczno,Masaż Piaseczno,"piaseczno masaż",Phrase,40,Wysoki,93,0.91,3.50,+40%,P1,klient,Odwrócona kolejność - rosnąca
Search-Lokalne-Piaseczno,Masaż Piaseczno,"masaż klasyczny piaseczno",Phrase,10,Wysoki,100,0.96,2.34,+100%,P2,klient,Niski wolumen ale rośnie
Search-Lokalne-Piaseczno,Masaż Piaseczno,"masaż kręgosłupa piaseczno",Phrase,10,Średni,41,,,0%,P2,klient,Wysoka intencja medyczna
Search-Lokalne-Piaseczno,Masaż Piaseczno,"masaż sportowy piaseczno",Phrase,10,Wysoki,100,0.90,2.18,0%,P2,klient,Niszowe - NIKT nie targetuje
Search-Lokalne-Piaseczno,Masaż Piaseczno,"gabinet masażu piaseczno",Phrase,10,Niski,21,,,0%,P2,klient,Niski CPC szansa
Search-Lokalne-Piaseczno,Masaż Piaseczno,"salon masażu piaseczno",Phrase,30,Niski,7,,,+350%,P1,klient,EKSPLOZJA wzrostu - tania fraza
Search-Lokalne-Piaseczno,Masaż Piaseczno,"masaż piaseczno warszawska",Phrase,10,Wysoki,86,,,0%,P3,klient,Specyficzna ulica
Search-Lokalne-Piaseczno,Drenaż Limfatyczny Piaseczno,"drenaż limfatyczny piaseczno",Phrase,50,Niski,33,0.78,1.64,+250%,P1,klient,EKSPLOZJA - nikt nie targetuje - OKAZJA
Search-Lokalne-Piaseczno,Drenaż Limfatyczny Piaseczno,"drenaż limfatyczny piaseczno",Exact,50,Niski,33,0.78,1.64,+250%,P1,klient,Exact match
Search-Lokalne-Piaseczno,Drenaż Limfatyczny Piaseczno,"masaż limfatyczny piaseczno",Phrase,,,,,,,,expansion,Wariant bez danych - zweryfikuj w KP
Search-Lokalne-Piaseczno,Drenaż Limfatyczny Piaseczno,"presoterapia piaseczno",Phrase,,,,,,,,expansion,Wariant bez danych - zweryfikuj w KP
Search-Lokalne-Piaseczno,Fizjoterapia Piaseczno,"fizjoterapia piaseczno",Phrase,,,,,,,,expansion,Brak w arkuszu klienta - TOP fraza lokalna
Search-Lokalne-Piaseczno,Fizjoterapia Piaseczno,"rehabilitacja piaseczno",Phrase,,,,,,,,expansion,j.w.
Search-Lokalne-Piaseczno,Fizjoterapia Piaseczno,"fizjoterapeuta piaseczno",Phrase,,,,,,,,expansion,j.w.
Search-Lokalne-Piaseczno,Fizjoterapia Piaseczno,"terapia manualna piaseczno",Phrase,,,,,,,,expansion,j.w.
Search-Lokalne-Piaseczno,Fizjoterapia Piaseczno,"fizjoterapia nowa iwiczna",Phrase,,Nieznany,,,,--,P1,klient,Brak danych wolumenu ale bezpośrednia lokalizacja
