keyword,match_type,category,reason
darmowy,Broad,cenowe,"Szukają darmowych usług - nie konwertują na komercyjne"
za darmo,Broad,cenowe,"j.w."
bezpłatny,Broad,cenowe,"j.w."
bezpłatna,Broad,cenowe,"j.w."
nfz,Broad,cenowe,"Pure Rehab to gabinet prywatny"
NFZ,Broad,cenowe,"j.w."
na nfz,Phrase,cenowe,"j.w."
refundacja,Broad,cenowe,"j.w."
refundowany,Broad,cenowe,"j.w."
kasa chorych,Phrase,cenowe,"Archaiczna fraza NFZ"
najtańszy,Broad,cenowe,"Szukają najtańszej opcji - niska wartość leada"
najtańsza,Broad,cenowe,"j.w."
tani,Broad,cenowe,"j.w."
tania,Broad,cenowe,"j.w."
tanio,Broad,cenowe,"j.w."
praca,Broad,zatrudnienie,"Szukają pracy, nie usługi"
oferty pracy,Phrase,zatrudnienie,"j.w."
zatrudnienie,Broad,zatrudnienie,"j.w."
kariera,Broad,zatrudnienie,"j.w."
rekrutacja,Broad,zatrudnienie,"j.w."
cv,Broad,zatrudnienie,"j.w."
studia,Broad,edukacja,"Szukają kierunku studiów"
uczelnia,Broad,edukacja,"j.w."
kurs,Broad,edukacja,"Szukają kursu/szkolenia"
szkolenie,Broad,edukacja,"j.w."
certyfikat,Broad,edukacja,"j.w."
egzamin,Broad,edukacja,"j.w."
jak zostać,Phrase,edukacja,"Szukają informacji o zawodzie"
jak wykonać,Phrase,edukacja,"Szukają porad DIY"
samodzielnie,Broad,edukacja,"j.w."
w domu,Phrase,edukacja,"Szukają ćwiczeń/masażu do samodzielnego wykonania"
domowy,Broad,edukacja,"j.w."
domowa,Broad,edukacja,"j.w."
youtube,Broad,edukacja,"Szukają filmów instruktażowych"
film,Broad,edukacja,"j.w."
poradnik,Broad,edukacja,"j.w."
tutorial,Broad,edukacja,"j.w."
masażer,Broad,produkt,"Szukają urządzenia do kupienia"
urządzenie,Broad,produkt,"j.w."
kupić,Broad,produkt,"j.w."
sklep,Broad,produkt,"j.w."
allegro,Broad,produkt,"j.w."
amazon,Broad,produkt,"j.w."
ceneo,Broad,produkt,"j.w."
fotel masujący,Phrase,produkt,"Szukają fotela"
mata do masażu,Phrase,produkt,"Szukają maty"
poduszka,Broad,produkt,"Szukają produktu"
wałek,Broad,produkt,"Szukają wałka do masażu"
roller,Broad,produkt,"j.w."
piłka,Broad,produkt,"j.w."
kostka do masażu,Phrase,produkt,"Szukają produktu"
gun,Broad,produkt,"Massage gun"
pistolet,Broad,produkt,"Pistolet do masażu"
erotyczny,Broad,nierelewantne,"Filtrowanie nieodpowiednich fraz"
erotyczna,Broad,nierelewantne,"j.w."
intymny,Broad,nierelewantne,"j.w."
seksualny,Broad,nierelewantne,"j.w."
tantryczny,Broad,nierelewantne,"j.w."
tantra,Broad,nierelewantne,"j.w."
nuru,Broad,nierelewantne,"j.w."
tajski erotyczny,Phrase,nierelewantne,"j.w."
thai masaż,Phrase,geo-nierelewantne,"Pure Rehab nie oferuje masażu tajskiego"
masaż hinduski,Phrase,geo-nierelewantne,"j.w."
masaż balijski,Phrase,geo-nierelewantne,"j.w."
masaż hawajski,Phrase,geo-nierelewantne,"j.w."
masaż lomi lomi,Phrase,geo-nierelewantne,"j.w."
masaż gorącymi kamieniami,Phrase,geo-nierelewantne,"Usługa spa/wellness"
masaż bambusowy,Phrase,geo-nierelewantne,"j.w."
masaż czekoladowy,Phrase,geo-nierelewantne,"j.w."
masaż miodowy,Phrase,geo-nierelewantne,"j.w."
Warszawa,Broad,geo-nierelewantne,"Ograniczamy do Piaseczna/okolic — geo robi resztę ale dodatkowe zabezpieczenie"
Kraków,Broad,geo-nierelewantne,"j.w."
Wrocław,Broad,geo-nierelewantne,"j.w."
Gdańsk,Broad,geo-nierelewantne,"j.w."
Poznań,Broad,geo-nierelewantne,"j.w."
Łódź,Broad,geo-nierelewantne,"j.w."
Katowice,Broad,geo-nierelewantne,"j.w."
Lublin,Broad,geo-nierelewantne,"j.w."
Szczecin,Broad,geo-nierelewantne,"j.w."
opinie,Broad,informacyjne,"Szukają opinii, nie umówienia wizyty"
ranking,Broad,informacyjne,"j.w."
co to jest,Phrase,informacyjne,"Pytanie informacyjne"
definicja,Broad,informacyjne,"j.w."
wikipedia,Broad,informacyjne,"j.w."
wiki,Broad,informacyjne,"j.w."
referat,Broad,informacyjne,"j.w."
praca magisterska,Phrase,informacyjne,"j.w."
praca licencjacka,Phrase,informacyjne,"j.w."
dla zwierząt,Phrase,nierelewantne,"Rehabilitacja zwierząt"
psa,Broad,nierelewantne,"j.w. (masaż psa)"
kota,Broad,nierelewantne,"j.w."
weterynaryjny,Broad,nierelewantne,"j.w."
koński,Broad,nierelewantne,"j.w."
samochodowy,Broad,nierelewantne,"Rehabilitacja/masaż fotela samochodowego"
samochód,Broad,nierelewantne,"j.w."
joga piaseczno,Phrase,inna-usługa,"Pure Rehab nie oferuje jogi — fraza z arkusza ale osobna usługa"
zajęcia jogi,Phrase,inna-usługa,"j.w."
